elementId,displayName,weakTo,strongAgainst,relatedAilmentId,description
none,無,,,,無属性
fire,火炎,cooling,poison,burn,燃焼や熱攻撃に関係する属性
cooling,冷却,thunder,fire,freeze,凍結や冷却攻撃に関係する属性
thunder,電撃,poison,cooling,paralysis,麻痺や電撃攻撃に関係する属性
acid,酸,gravity,fire,armor_down,装甲破壊に関係する属性
poison,毒,fire,thunder,poison,継続ダメージに関係する属性
nerve,神経,sonic,optical,bind,行動阻害や神経攻撃に関係する属性
sonic,音波,optical,nerve,accuracy_down,命中低下や攪乱に関係する属性
gravity,重力,acid,sonic,speed_down,速度低下や拘束に関係する属性
optical,光学,erosion,gravity,blind,幻惑や命中妨害に関係する属性
erosion,侵食,fire,optical,heal_block,回復阻害や再生阻害に関係する属性
