statusEffectId,displayName,effectKind,category,statKey,multiplier,flatValue,duration,effectValue,description
poison,毒,ailment,damageOverTime,,1.00,0,3,0.05,毎ターンHP減少
burn,火傷,ailment,damageOverTime,,1.00,0,3,0.06,毎ターンHP減少
shock,感電,ailment,speedDown,speed,0.80,0,2,0.20,速度低下
paralysis,麻痺,ailment,actionDown,,1.00,0,1,1.00,行動阻害
freeze,凍結,ailment,actionDown,,1.00,0,1,1.00,行動阻害
bind,拘束,ailment,actionDown,,1.00,0,1,1.00,行動阻害
accuracy_down,命中低下,debuff,accuracyDown,lAtk,0.85,0,2,0.20,命中低下
armor_down,装甲低下,debuff,defenseDown,allDef,0.80,0,3,0.20,防御低下
speed_down,速度低下,debuff,speedDown,speed,0.75,0,2,0.20,速度低下
blind,幻惑,ailment,accuracyDown,lAtk,0.75,0,2,0.25,命中低下
heal_block,回復阻害,ailment,healBlock,,1.00,0,2,1.00,回復を阻害
jammed,妨害,ailment,ppCostUp,,1.00,0,3,1.00,PP消費増加
atk_up_s,近接強化,buff,statMultiplier,sAtk,1.20,0,3,,S-ATK上昇
atk_up_l,遠隔強化,buff,statMultiplier,lAtk,1.20,0,3,,L-ATK上昇
atk_up_m,魔法強化,buff,statMultiplier,mAtk,1.20,0,3,,M-ATK上昇
def_up_all,防御強化,buff,statMultiplier,allDef,1.15,0,3,,全防御上昇
speed_up,加速,buff,statMultiplier,speed,1.25,0,2,,速度上昇
def_down_all,防御低下,debuff,statMultiplier,allDef,0.85,0,3,,全防御低下
regen,再生,buff,regeneration,hp,1.00,0,3,,継続回復
